117240,1453,1522,5A,5A
117240,1483,1516,5A,5A
117240,1483,1522,5A,5A
117240,1495,1520,5A,5A
117240,1502,1516,5A,5A
117240,1516,1520,5A,5A
117240,1516,1751,5A,5A
117240,1522,1751,5A,5A
117560,1468,1520,5A,5A
117580,1452,1468,5A,5A
117600,1453,1458,5A,5A
117600,1453,1501,5A,5A
117600,1458,1459,5A,5A
117600,1458,1501,5A,5A
117600,1459,1516,5A,5A
117600,1459,1522,5A,5A
117600,1461,1751,5A,5A
117600,1468,1477,5A,5A
117600,1501,1516,5A,5A
117600,1520,1522,5A,5A
117620,1451,1493,5A,5A
117620,1451,1501,5A,5A
117620,1452,1495,5A,5A
117620,1453,1457,5A,5A
117620,1458,1501,5A,5A
117620,1516,1522,5A,5A
117640,1452,1495,5A,5A
117640,1459,1522,5A,5A
117640,1461,1516,5A,5A
117640,1461,1751,5A,5A
117640,1495,1516,5A,5A
117660,1451,1452,5A,5A
117660,1457,1468,5A,5A
117660,1458,1493,5A,5A
117660,1493,1498,5A,5A
117660,1495,1501,5A,5A
117680,1452,1468,5A,5A
117680,1458,1751,5A,5A
117680,1493,1520,5A,5A
117700,1468,1477,5A,5A
117700,1493,1637,5A,5A
117720,1502,1751,5A,5A
117740,1495,1516,5A,5A
117760,1458,1751,5A,5A
117760,1459,1477,5A,5A
117760,1479,1495,5A,5A
117760,1479,1516,5A,5A
117760,1493,1751,5A,5A
117760,1498,1516,5A,5A
117760,1498,1637,5A,5A
117760,1516,1637,5A,5A
117780,1457,1468,5A,5A
117800,1457,1498,5A,5A
117900,1458,1461,5A,5A
117900,1461,1516,5A,5A
117920,1458,1468,5A,5A
117980,1458,1516,5A,5A
118000,1458,1516,5A,5A
118040,1458,1477,5A,5A
118040,1501,1751,5A,5A
118060,1501,1751,5A,5A
118100,1451,1452,5A,5A
118120,1453,1468,5A,5A
118180,1451,1468,5A,5A
118200,1453,1468,5A,5A
118220,1453,1468,5A,5A
118220,1458,1461,5A,5A
118240,1453,1468,5A,5A
118260,1453,1468,5A,5A
118260,1477,1520,5A,5A
118280,1453,1468,5A,5A
118300,1453,1468,5A,5A
118300,1477,1520,5A,5A
118480,1461,1501,5A,5A
118500,1458,1637,5A,5A
118500,1479,1751,5A,5A
118520,1458,1637,5A,5A
118520,1479,1751,5A,5A
118540,1452,1520,5A,5A
118540,1477,1520,5A,5A
118540,1501,1751,5A,5A
118560,1453,1477,5A,5A
118560,1458,1501,5A,5A
118560,1458,1516,5A,5A
118560,1501,1516,5A,5A
118580,1458,1501,5A,5A
118580,1458,1516,5A,5A
118600,1458,1461,5A,5A
118600,1458,1493,5A,5A
118600,1477,1502,5A,5A
118620,1458,1461,5A,5A
118620,1458,1516,5A,5A
118640,1451,1452,5A,5A
118640,1457,1498,5A,5A
118680,1458,1493,5A,5A
118700,1458,1493,5A,5A
118720,1458,1493,5A,5A
118780,1479,1495,5A,5A
118800,1458,1637,5A,5A
118820,1458,1493,5A,5A
118860,1479,1495,5A,5A
118880,1479,1495,5A,5A
118900,1457,1498,5A,5A
118900,1479,1495,5A,5A
118920,1479,1495,5A,5A
118940,1457,1498,5A,5A
118960,1458,1516,5A,5A
118960,1495,1516,5A,5A
119020,1457,1498,5A,5A
119040,1457,1498,5A,5A
119040,1495,1516,5A,5A
119060,1453,1477,5A,5A
119080,1457,1498,5A,5A
119080,1461,1501,5A,5A
119100,1457,1498,5A,5A
119100,1461,1501,5A,5A
119120,1461,1501,5A,5A
119140,1457,1498,5A,5A
119160,1457,1498,5A,5A
119180,1457,1498,5A,5A
119220,1479,1495,5A,5A
119240,1451,1520,5A,5A
119240,1479,1495,5A,5A
119260,1457,1522,5A,5A
119260,1461,1477,5A,5A
119260,1479,1495,5A,5A
119280,1451,1520,5A,5A
119280,1457,1522,5A,5A
119320,1457,1498,5A,5A
119360,1461,1501,5A,5A
119380,1461,1501,5A,5A
119400,1461,1501,5A,5A
119420,1461,1501,5A,5A
119440,1461,1501,5A,5A
119460,1451,1520,5A,5A
119460,1457,1468,5A,5A
119460,1457,1498,5A,5A
119460,1461,1501,5A,5A
119460,1502,1520,5A,5A
119540,1468,1520,5A,5A
119560,1501,1520,5A,5A
119700,1451,1520,5A,5A
119720,1451,1520,5A,5A
119740,1502,1520,5A,5A
119780,1479,1495,5A,5A
119800,1502,1520,5A,5A
119820,1502,1520,5A,5A
119880,1477,1502,5A,5A
119960,1458,1637,5A,5A
119980,1458,1516,5A,5A
120000,1451,1520,5A,5A
120000,1457,1468,5A,5A
120000,1458,1516,5A,5A
